
协 | xié | be united; cooperate
徒 | tú | disciple, follower; go on foot
嘉 | jiā | excellent; joyful; auspicious
柔 | róu | soft; gentle, pliant
绩 | jī | spin; achievements
笨 | bèn | foolish, stupid, dull; awkward
拥 | yǒng | embrace, hug, squeeze; crowd
漂 | piāo | float, drift; tossed about
狮 | shī | lion
诗 | shī | poetry; poem, verse, ode
围 | wéi | surround, encircle, corral
乖 | guāi | rebel; crafty, shrewd
孤 | gū | orphan, fatherless; solitary
姓 | xìng | one's family name; clan, people
吸 | xī | inhale, suck in; absorb; attract
私 | sī | private, personal; secret
避 | bì | avoid; turn aside; escape; hide
范 | fàn | pattern, model, rule, law
抗 | kàng | resist, oppose, defy, reject
盖 | gài | cover, hide, protect
祝 | zhù | pray for happiness or blessings
序 | xù | series, serial order, sequence
晓 | xiǎo | dawn, daybreak; clear, explicit
富 | fù | abundant, ample; rich, wealthy
译 | yì | translate; decode; encode
巨 | jù | large, great, enormous; chief
秀 | xiù | ear of grain; flowering, luxuriant; refined, elegant, graceful
馀 | yú | remainder
辉 | huī | brightness, luster, brilliance
插 | chā | insert, stick into; plant
察 | chá | examine, investigate; notice
庆 | qìng | congratulate, celebrate
积 | jī | accumulate, store up, amass
愈 | yù | more and more, even more
端 | duān | end, extreme; head; beginning
移 | yí | change place, shift; move about
宫 | gōng | palace, temple, dwelling, enclose
挥 | huī | direct; wipe away; squander
爆 | bào | crackle, pop, burst, explode
港 | gǎng | port, harbor; small stream; bay
雪 | xuě | snow; wipe away shame, avenge
硕 | shuò | great, eminent; large, big
借 | jiè | borrow; lend; make pretext of
帅 | shuài | commander, commander-in-chief
丢 | diū | discard, reject, lose
括 | guā | include, embrace, enclose
挂 | guà | hang, suspend; suspense
盘 | pán | tray, plate, dish; examine
偶 | ǒu | accidentally, coincidently; an idol
末 | mò | final, last, end; insignificant
厅 | tīng | hall, central room
朱 | zhū | cinnabar, vermilion; surname
凡 | fán | all, any, every; ordinary, common
惊 | jīng | frighten, surprise, startle
货 | huò | goods, commodities, products
灭 | miè | extinguish; wipe out, exterminate
醒 | xǐng | wake up; sober up; startle
虚 | xū | false, worthless; empty, hollow
瑞 | ruì | felicitous omen; auspicious
拍 | pāi | clap, tap, beat; beat or rhythm
遗 | yí | lose; articles lost; omit
忠 | zhōng | loyalty, devotion, fidelity
志 | zhì | write down; record; magazine
透 | tòu | penetrate, pass through
烈 | liè | fiery, violent, vehement, ardent
银 | yín | silver; cash, money, wealth
顶 | dǐng | top, peak; carry on head; very
雅 | yǎ | elegant, graceful, refined
诺 | nuò | promise; assent, approve
圆 | yuán | circle; round, circular; complete
熊 | xióng | a bear; brilliant; bright; surname
替 | tì | change, replace, substitute for
休 | xiū | rest, stop; retire; do not!
材 | cái | material, stuff; timber; talent
挑 | tiāo | a load carried on the shoulders; to carry
侠 | xiá | chivalrous person; knight-errant
鸡 | jī | chicken
累 | léi | bind, wind about; link, join
互 | hù | mutually, reciprocally
掌 | zhǎng | palm of hand, sole of foot, paw
念 | niàn | think of, recall, study
米 | mǐ | hulled or husked uncooked rice
伴 | bàn | companion, comrade, partner; accompany
辅 | fǔ | cheek bone; protective; assist
降 | jiàng | descend, fall, drop; lower, down
豪 | háo | brave, heroic, chivalrous
篮 | lán | basket
洗 | xǐ | wash, rinse; clean, purify
健 | jiàn | strong, robust, healthy; strength
饭 | fàn | cooked rice; food; meal
怜 | lián | pity, sympathize
疯 | fēng | crazy, insane, mentally ill
宏 | hóng | wide, spacious, great, vast
困 | kùn | be tired, sleepy
址 | zhǐ | site, location, land for house
兮 | xī | exclamatory particle
操 | cāo | conduct, run, control, manage
临 | lín | draw near, approach; descend
骗 | piàn | swindle, cheat out of, defraud
咧 | liě | stretch mouth, grimace, grin
药 | yào | drugs, pharmaceuticals, medicine
绿 | lǖ | green; chlorine
尼 | ní | Buddhist nun; transliteration
蔡 | cài | surname; species of tortoise
玉 | yù | jade, precious stone, gem
辛 | xīn | bitter; toilsome, laborious; 8th heavenly stem
辈 | bèi | generation, lifetime; class
敏 | mǐn | fast, quick, clever, smart
减 | jiǎn | decrease, subtract, diminish
彼 | bǐ | that, there, those
街 | jiē | street, road, thoroughfare
聚 | jù | assemble, meet together, collect
郎 | láng | gentleman, young man; husband
泡 | pào | bubbles, suds; blister; soak
恨 | hèn | hatred, dislike; resent, hate
苏 | sū | revive, resurrect; a species of thyme; transliteration of 'Soviet'
缩 | suō | contract, draw in, reduce
枢 | shū | door hinge; pivot; center of power
碰 | pèng | collide, bump into
采 | cǎi | gather, collect; pick, select
默 | mò | silent; quiet, still; dark
婆 | pó | old woman; grandmother
股 | gǔ | thighs, haunches, rump; share
童 | tóng | child, boy, servant boy; virgin
符 | fú | i.d. tag, tally, symbol, charm
抽 | chōu | draw out, pull out; sprout
获 | huò | harvest, cut grain
宇 | yǔ | house; building, structure; eaves
废 | fèi | abrogate, terminate, discard
赢 | yíng | win; surplus, gain, profit
肯 | kěn | willing; consent to, permit
砍 | kǎn | hack, chop, cut, fell
钢 | gāng | steel; hard, strong, tough
欧 | ōu | used in transliterating non-Chinese words such as Europe, ohm; surname
届 | jiè | numerary adjunct for time, term
禁 | jìn | restrict, prohibit, forbid
苍 | cāng | blue; green
脱 | tuō | take off, peel off, strip
渐 | jiàn | gradually
仙 | xiān | Taoist super-being, transcendent, immortal
泪 | lèi | tears; weep, cry
触 | chù | touch; butt, ram, gore
途 | tú | way, road, path, journey; course
财 | cái | wealth, valuables, riches
箱 | xiāng | case, box, chest, trunk
厌 | yàn | dislike, detest, reject; satiate
籍 | jí | record, register, list; census
冰 | bīng | ice; ice-cold
涛 | tāo | large waves
订 | dìng | draw up agreement; arrange
哭 | kū | weep, cry, wail
稳 | wěn | stable, firm, solid, steady
析 | xī | split wood; break apart; divide
杰 | jié | hero; outstanding, remarkable
坚 | jiān | hard, strong, firm; resolute
桥 | qiáo | bridge; beam, crosspiece
懒 | lǎn | lazy, languid, listless
贤 | xián | virtuous, worthy, good; able
丝 | sī | silk; fine thread; wire; strings
露 | lù | dew; bare, open, exposed
森 | sēn | forest; luxuriant vegetation
危 | wēi | dangerous, precarious; high
占 | zhān | divine; observe; versify
茶 | chá | tea
惯 | guàn | habit, custom; habitually, usually
尘 | chén | dust, dirt, ashes, cinders
布 | bù | cotton cloth, textiles, linen
爸 | bà | father, papa
阶 | jiē | stairs, steps; rank, degree
夏 | xià | summer; great, grand, big
谊 | yí | friendship; appropriate, suitable
瓶 | píng | jug, pitcher, vase, jar, bottle
哩 | lī | mile
惨 | cǎn | sad, pitiful, wretched; cruel
械 | jiè | weapons; implements, instruments
隐 | yǐn | hide, conceal; hidden, secret
丰 | fēng | abundant, lush, bountiful, plenty
旅 | lǚ | trip, journey; travel; traveler
椰 | yé | palm tree, coconut palm
亡 | wáng | death, destroyed; lose, perish
汽 | qì | steam, vapor, gas
贝 | bèi | sea shell; money, currency
娘 | niáng | mother; young girl; woman; wife
寒 | hán | cold, wintry, chilly
遭 | zāo | come across, meet with, encounter
吹 | chuī | blow; puff; brag, boast
暑 | shǔ | hot
珍 | zhēn | precious, valuable, rare
零 | líng | zero; fragment, fraction
刊 | kān | publication, periodical; publish
邮 | yóu | postal, mail; post office
村 | cūn | village, hamlet; uncouth, vulgar
乃 | nǎi | then; really, indeed; as it turned out, after all; namely
予 | yú | I, me; to give
赖 | lài | rely, depend on; accuse falsely
摇 | yáo | wag, swing, wave; shake; scull
纳 | nà | admit, take, receive, accept
烟 | yān | smoke, soot; opium; tobacco, cigarettes
伦 | lún | normal human relationships
尾 | wěi | tail, extremity; end, stern
狼 | láng | wolf
浮 | fú | to float, drift, waft; to exceed; superfluous
骨 | gǔ | bone; skeleton; frame, framework
杯 | bēi | cup, glass
隔 | gé | separate, partition
洪 | hóng | vast, immense; flood, deluge
织 | zhī | weave, knit; organize, unite
询 | xún | inquire into, ask about; consult
振 | zhèn | raise, excite, arouse action
忽 | hū | suddenly, abruptly; neglect
索 | suǒ | large rope, cable; rules, laws; to demand, to exact; to search, inquire; isolated
惠 | huì | favor, benefit, confer kindness
峰 | fēng | peak, summit; hump of camel
席 | xí | seat; mat; take seat; banquet
喵 | miāo | the mew of the cat
胡 | hú | beard, mustache, whiskers
租 | zū | rent, lease; rental; tax
款 | kuǎn | item, article; clause; fund
扰 | rǎo | disturb, annoy, agitate
企 | qǐ | plan a project; stand on tiptoe
刺 | cì | stab; prick, irritate; prod
芳 | fāng | fragrant; virtuous; beautiful
鼠 | shǔ | rat, mouse; KangXi radical 208
折 | zhé | break off, snap; bend
频 | pín | frequently, again and again
冒 | mòu | risk, brave, dare
痴 | chī | foolish, stupid, dumb, silly
阴 | yīn | female' principle; dark; secret
哲 | zhé | wise, sagacious; wise man, sage
针 | zhēn | needle; pin; tack; acupuncture
伊 | yī | third person pronoun; he, she, this, that
寂 | jì | still, silent, quiet, desolate
嘴 | zuǐ | mouth, lips
倚 | yǐ | rely on, depend on; lean heavily
霸 | bà | rule by might rather than right
扬 | yáng | scatter, spread; praise
沉 | chén | sink, submerge; addicted to
悔 | huǐ | repent, show remorse, regret
虫 | chóng | worms; insects
菜 | cài | vegetables; dish, order; food
距 | jù | distance; bird's spur
复 | fù | cover; tip over; return; reply
鼓 | gǔ | drum; beat, top, strike
摩 | mó | rub, scour, grind; friction
郑 | zhèng | state in today's Henan; surname
庄 | zhuāng | village, hamlet; villa; surname
副 | fù | assist; supplement; assistant
页 | yè | page, sheet, leaf; rad. no. 181
烧 | shāo | burn; bake; heat; roast
弱 | ruò | weak; fragile, delicate
暂 | zàn | temporary
剩 | shèng | leftovers, residue, remains
豆 | dòu | beans, peas; bean-shaped
探 | tàn | find, locate; search, grope for
耐 | nài | endure, bear; resist; patient
祖 | zǔ | ancestor, forefather; grandfather
遍 | biàn | everywhere, all over, throughout
萧 | xiāo | common artemisia; soughing of wind > mournful; dejected
握 | wò | grasp, hold fast, take by hand
愁 | chóu | anxiety; to worry about, be anxious
龟 | guī | turtle or tortoise; cuckold
哀 | āi | sad, mournful, pitiful; pity
发 | fǎ | hair
延 | yán | delay, postpone, defer
库 | kù | armory, treasury, storehouse
隆 | lóng | prosperous, plentiful, abundant
盟 | méng | swear; oath, covenant, alliance
傻 | shǎ | foolish, silly, stupid; an imbecile
眉 | méi | eyebrows; upper margin of book
固 | gù | to become solid, solidify; strength
秘 | mì | secret, mysterious, abstruse
卷 | juàn | scroll; curl; make a comeback
搭 | dā | join together, attach to; add to
昭 | zhāo | bright, luminous; illustrious
宁 | zhù | repose, serenity, peace; peaceful
托 | tuō | to hold up with palm; to support, rely on
辩 | biàn | dispute, argue, debate, discuss
复 | fù | cover; tip over; return; reply
吵 | chǎo | argue, dispute; disturb, annoy
耳 | ěr | ear; merely, only; handle
閒 | xián | peaceful, tranquil, calm
拨 | bō | move; dispel; distribute; plectrum, play stringed instrument
沈 | shěn | juice; liquid; water; leak, pour
升 | shēng | arise, go up; hoist; advance
胖 | pàng | fat, obese; fatty
丁 | dīng | male adult; robust, vigorous; 4th heavenly stem
妙 | miào | mysterious, subtle; exquisite
残 | cán | injure, spoil; oppress; broken
违 | wéi | disobey, violate, defy; be apart from
稍 | shāo | little, slightly; rather
媒 | méi | go-between, matchmaker; medium
忧 | yōu | sad, grieved; grief, melancholy
销 | xiāo | melt, fuse; market, sell; to pass time, finish, cancel
恩 | ēn | kindness, mercy, charity
颜 | yán | face, facial appearance
船 | chuán | ship, boat, vessel
奈 | nài | but, how; bear, stand, endure
映 | yìng | project; reflect light
井 | jǐng | well, mine shaft, pit
拼 | pīn | join together, link, incorporate
屋 | wū | house; room; building, shelter
乘 | chéng | ride, ascend; avail oneself of; numerary adjunct for vehicles
京 | jīng | capital city
藉 | jiè | mat, pad; rely on; pretext
洞 | dòng | cave, grotto; ravine; hole
川 | chuān | stream, river; flow; boil
宪 | xiàn | constitution, statute, law
拟 | nǐ | draft; intend, plan, propose
寝 | qǐn | sleep, rest; bed chamber
塞 | sāi | stop up, block, seal, cork; pass, frontier; fortress
倍 | bèi | times, fold, multiple times
户 | hù | door; family, household
摆 | bǎi | put, place; display; swing, sway
桌 | zhuō | table, desk, stand
域 | yù | district, region, boundary; land
劳 | láo | labor, toil, do manual work
赚 | zhuàn | make money, earn; gain, profit
皇 | huáng | royal, imperial; ruler, superior
逃 | táo | escape, flee; abscond, dodge
鸿 | hóng | species of wild swan; vast
横 | héng | across, horizontal, lateral
牙 | yá | tooth, molars, teeth; serrated
拖 | tuō | drag, tow, haul; delay, prolong
齐 | qí | even, uniform, of equal length
农 | nóng | agriculture, farming; farmer
滚 | gǔn | turn, roll, rotate; boil
障 | zhàng | separate; shield; barricade
搬 | bān | transfer, move, remove, shift
奶 | nǎi | milk; woman's breasts; nurse
乌 | wū | crow, rook, raven; black, dark
了 | liǎo | to finish; particle of completed action
松 | sōng | lax, loose; loosen, relax
戴 | dài | wear on top; support
谱 | pǔ | register, list, table; musical score
酷 | kù | strong, stimulating; very
棋 | qí | chess; any game similar to chess
吓 | xià | scare, frighten; intimidate
摸 | mō | gently touch with hand; caress
额 | é | forehead; tablet, plaque; fixed
瓜 | guā | melon, gourd, cucumber; rad. 97
役 | yì | service; a servant, laborer; to serve
怨 | yuàn | hatred, enmity, resentment
染 | rǎn | dye; be contagious; infect
迫 | pò | coerce, force, compel; urgent
醉 | zuì | intoxicated, drunk; addicted to
锁 | suǒ | lock, padlock; shackles, chains
震 | zhèn | shake, quake, tremor; excite
床 | chuáng | bed, couch; framework, chassis
闹 | nào | quarrel; dispute hotly
佩 | pèi | belt ornament, pendant; wear at waist, tie to the belt; respect
牠 | tuō | it; polled cattle
徐 | xú | slowly, quietly, calmly; composed, dignified
尺 | chǐ | Chinese measure approx. 'foot'
干 | gàn | trunk of tree or of human body















































































































































































































































































































































































































































































































































































































